sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"Our progress and results During 2025, our absolute Scope 1 and 2 GHG emissions decreased by 41 percent compared with 2019.",41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,41 percent,2019,,Scope 1,1.0,data/raw/hm/2025_sustainability_report.pdf
"The reduction since last year was mainly driven by the matching of renewable electricity with consumption in Australia, which contributed to lower emissions despite a marginal decline in our overall renewable electricity share from 96 percent in 2024 to 95 percent in 2025 due to updated RE100 criteria preventing matching in Romania and Serbia.",41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,96 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"The proportion of electricity matched through our VPPAs increased significantly to 49.1 percent, compared with 19.6 percent in 2024, as all VPPAs in Sweden and the United States came online.",41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,49.1 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
The share of renewable electricity coming from bundled certificates is 51.5 percent.,41,Our actions to reduce GHG emissions > Targets for 2040,other,,51.5 percent,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
In our stores the electricity intensity (kWh/m² per opening hour) decreased by 32 percent compared with the 2016 baseline.,41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,32 percent,2016,,,0.67,data/raw/hm/2025_sustainability_report.pdf
"Our 2025 absolute Scope 3 emissions under our science based target decreased by 34.6 percent compared with 2019 and 13.6 percent compared with last year, remaining well in line with our –56 percent 2030 target.",41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,34.6 percent,2019,,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"By the end of 2025, 10 Tier 1, 2, and 3 factories reported the use of on‑site coal boilers, down from 118 in 2022, showing strong progress toward our aim of full phase‑out by the end of 2026.",41,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,"2025,",2022,2025,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"While emissions are still linked to resource use, total Scope 3 emissions per net revenue (tonnes CO₂e/SEK m) decreased by 33.4 percent compared with 2019 and 11.2 percent compared with last year.",41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,33.4 percent,2019,,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"Based on our planned mitigation actions, our expected total GHG emissions reductions from 2019 to 2030 amount to 56 percent, in line with our science based targets for Scope 1, 2, and 3. Biogenic emissions related to activities reported under Scope 1, 2 and 3 have not been calculated for 2025.",41,Our actions to reduce GHG emissions > Targets for 2040,other,,56 percent,2019,,Scope 1,1.0,data/raw/hm/2025_sustainability_report.pdf
"In terms of governance, 10 percent of remuneration in the long-term ­incentive programme (‘LTIP 2025’) was linked to climate-related considerations, supporting accountability for climate performance.",41,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,10 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Prior to 2025, the consumption of purchased or acquired electricity, heat, steam, and cooling from fossil sources (MWh) includes all non-renewable energy.",41,"Our actions to reduce GHG emissions > Consumption from nuclear sources (MWh) 8,205 N/A N/A N/A",other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"1. Net revenue used to calculate intensity values was SEK 228,285 m, as reported in the consolidated financial statements.",41,Our actions to reduce GHG emissions > Energy consumption per net revenue1 for own operations,achievement,achievement,"228,285",,,,0.33,data/raw/hm/2025_sustainability_report.pdf
These emissions are not within the ‘minimum boundary’ for category 11 (use of sold products) of the GHG Protocol’s Scope 3 standard.,41,Our actions to reduce GHG emissions > Total GHG emissions,other,,11,,,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
Scope 3 GHG emissions were calculated using 26 percent primary data.,41,Our actions to reduce GHG emissions > Total GHG emissions,achievement,achievement,26 percent,,,Scope 3,0.67,data/raw/hm/2025_sustainability_report.pdf
"Net revenue used to calculate intensity values was SEK 228,285 m, as reported in the consolidated financial statements.",41,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,"228,285",,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Renewable energy consumption is primarily achieved through electricity matched with EACs (unbundled procurement), and VPPAs (bundled procurement), all aligned with RE100 criteria.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"GHG emission inventory and achieved reductions GHG emissions are reported per GHG Protocol and ESRS E1, using the operational control approach.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"These emissions are expressed in tonnes of CO₂ equivalent (CO₂e), and include CO₂, CH₄, N₂O, and relevant F‑gases based on 100‑year global warming potentials (GWP) from IPCC AR5.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,100,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Biogenic emissions related to activities reported under Scope 1, 2, and 3 have not been calculated for 2025.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,"1,",,,Scope 1,1.0,data/raw/hm/2025_sustainability_report.pdf
"Scope 1 GHG emissions Scope 1 GHG emissions include all direct greenhouse gas emissions from own operations under financial and operational control, including onsite fuel use, company vehicles, and refrigerant leakage from cooling ­systems.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,1,,,Scope 1; own operations,1.0,data/raw/hm/2025_sustainability_report.pdf
Calculations are based on consumption and emission factors from DESNZ (2025).,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
For company cars a per-kilometre emission value per fuel type from DrivkraftSverige (2025) are used.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Scope 2 GHG emissions Scope 2 GHG emissions include indirect emissions from purchased electricity, and district heating used in stores, offices and distribution centres.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2,,,Scope 2,1.0,data/raw/hm/2025_sustainability_report.pdf
"Emissions are reported using both the market‑based method (reflecting ­certificates purchased or generated through VPPAs, complying with the ­current RE100 technical criteria, and the residual mix factors where available, or IEA grid factors) and the location‑based method (reflecting the average grid mix in each country based on IEA grid factors).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
Calculations are based on energy consumption and applicable annual emission factors from IEA (2025).,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Scope 3 GHG emissions Scope 3 GHG emissions include indirect GHG emissions that occur in H&M Group’s value chain, upstream and downstream.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,3,,,Scope 3; value chain; upstream; downstream,1.0,data/raw/hm/2025_sustainability_report.pdf
Scope 3 is calculated in accordance with the Greenhouse Gas Protocol Value Chain Accounting and Reporting Standard (2011).,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,3,,,Scope 3; value chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"As part of the SBTi’s validation of H&M Group’s net-zero and near-term targets, all the categories in Scope 3 were screened, collecting relevant proxy data where primary data was not available, to identify all relevant emission sources across the H&M group’s activities.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,3,,,Scope 3,0.67,data/raw/hm/2025_sustainability_report.pdf
Relevance was identified based on the absence of activities within some of the categories (such as Category 10) and the estimated emissions within others.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,10,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"No activities with relevant climate impact have been identified for categories 2, 8, 9, 10, and 13 and these are therefore excluded from disclosure.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,"2,",,,,0.33,data/raw/hm/2025_sustainability_report.pdf
We report optional emissions for indirect use-phase in Category 11.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Calculations are based on product weights, process energy requirements from the Apparel Impact Institutes (Aii) Energy and Carbon Benchmark V1.0 (2025), and the energy mix at production units or country grid factors where the factory specific energy mix is not available.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Emission factors from IEA (2025) and US EPA (2025).,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Calculations are based on material weights and HIGG MSI emission factors (2025), and average emissions per piece based on primary data or the HIGG FEM database (2025).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Category 3 – Fuel‑ and energy‑related activities Calculations are based on energy consumption in own operations, combined with emission factors from DESNZ (2025), NREL (2012) and DOE (2015 and 2016).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,3,,,own operations,1.0,data/raw/hm/2025_sustainability_report.pdf
"Category 4 – Upstream transportation and distribution Calculations are based either on fuels used reported by transport service providers, or by a combination of mode of transport, distance, and weight, applying emission factors from NTM (2025).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,4,,,upstream,1.0,data/raw/hm/2025_sustainability_report.pdf
"Category 5 – Waste generated in operations Product waste, packaging waste, and other operational waste from distribution centres and stores.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Calculations are based on waste ­volumes by treatment type (e.g., recycling, landfill, incineration) and ­applying emission factors from DESNZ (2022).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2022,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Category 6 – Business travel Calculations are based on travel expenses, which are used for estimating emissions based on mode of transport.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,6,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Spend based emission factors from DESNZ (2025).,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Category 7 – Employee commuting Calculations are based on number of employees, transport distances and modal split assumptions, and average emission factors from DESNZ (2017) and Trafikverket (2025).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,7,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Category 11 – Use of sold products Indirect use-phase emissions from energy used during customer care, ­ such as washing, drying and ironing.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,11,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Calculations are based on product group‑specific assumptions for care frequency and energy use from Cascale’s Product Module, combined with country level electricity emission factors from IEA (2025).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Category 12 – End‑of‑life treatment of sold products Calculations are based on product weights, sales data and country-specific waste statistics on treatment types.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,12,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Global emission factors from DESNZ (2022) have been applied for all countries.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,2022,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Category 14 – Franchises Calculations are based on franchisee floor area, combined with H&M Group global retail average of energy intensity and national emission factors from IEA (2025).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,14,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Category 15 – Investments Scope 1 and 2 emissions, as well as material Scope 3 emissions of companies where H&M Group has a controlling majority, are integrated into the H&M group’s Scope 1, 2 and 3 reporting, and are not included in Category 15.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,15,,,Scope 1; Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"For investments where the H&M group has no controlling majority, Scope 1 and 2 are included in Category 15.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,1,,,Scope 1,1.0,data/raw/hm/2025_sustainability_report.pdf
"Calculations are based on an operational control approach using financial data, combined with Exiobase (2018) emission intensity factors by industry, mapped with NACE codes.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,2018,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"GHG intensity per net revenue GHG intensity is calculated as total greenhouse gas emissions (Scope 1, Scope 2 location‑based, Scope 2 market‑based, and all relevant Scope 3 ­categories) divided by net sales as reported in the consolidated financial statements.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,"1,",,,Scope 1; Scope 2; Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"Financial resources allocated Financial resources include CapEx and OpEx for activities such as decar­bonisation, renewable energy, upcharge for sustainably sourced or recycled materials, and resale.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Figures are based on both audited financial data, as well as upcharge costs for recycled and sustainably sourced materials and renewable electricity used in production.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Emission reductions achieved are calculated based on a combination of metering, supplier energy data, estimates based on conservative assumptions and emission factors from IEA (2025) and US EPA (2025).",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,2025,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
Decarbonising production The electricity consumption and share of renewable electricity in our supply chain includes reported electricity from supplier units in Tier 1 to 3.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
Number of suppliers reporting the use of on-site coal is based on the third quarter of 2025.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"This change has led to a decrease in emissions from other expenditures by 29 percent or 164,000 tonnes CO2e for 2024 and a 41 percent or 290,000 tonnes CO2e decrease for 2019 compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,29 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"For fabric production and garment manufacturing (category 1), we have transitioned from using Higg MSI emission factors to those provided by the Aii’s Energy and Carbon Benchmark V1.0.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,1,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
The Energy and ­Carbon Benchmark V1.0 provides a more process-specific energy requirement that allows us to more accurately capture both emissions and energy improvements at our suppliers’ factories and includes only the energy ­consumed on-site.,42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"This change corresponds to a decrease of 31 percent or 1,269,000 tonnes CO2e for 2024 and a 30 percent or 1,574,000 tonnes CO2e decrease for 2019 compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,31 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"This change has led to an in­­ crease of 46 percent or 12,000 tonnes CO2e for 2024 and a 126 percent or 29,000 tonnes CO2e increase for 2019 as compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,46 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"This change has led to an increase of 46 percent or 30,000 tonnes CO2e for 2024 and an 38 percent or 28,000 tonnes CO2e increase for 2019 as compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,46 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Together, these lead to an increase of 2 percent or 10,000 tonnes CO2e for 2024, and a 1 percent or 10,000 tonnes CO2e decrease for 2019 as compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,2 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"For Scope 2, self‑generated and consumed electricity has been added.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,"2,",,,Scope 2,0.67,data/raw/hm/2025_sustainability_report.pdf
"For our total emissions in Scope 1 and 2, these changes correspond to an increase of 9 percent, or 3,838 tonnes of CO₂e for 2024, and an increase of 2 percent, or 1,174 tonnes of CO₂e for 2019, compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,9 percent,,,Scope 1,0.67,data/raw/hm/2025_sustainability_report.pdf
"For our full Scope 3 emissions, including the use-phase, all these changes correspond to a decrease of 11 percent or 984,000 tonnes CO2e for 2024 and a 13 percent or 1,528,000 tonnes CO2e decrease for 2019 compared to what was reported in our 2024 annual and sustainability report.",42,Our actions to reduce GHG emissions > GHG intensity per net revenue1 (tonnes CO2e/SEK m),achievement,achievement,11 percent,,,Scope 3,0.67,data/raw/hm/2025_sustainability_report.pdf
Minimising water pollution We have set a target to achieve 95 percent compliance with ZDHC Manufacturing Restricted Substances List (MRSL) for all processing units in Tier 1 and 2 of our supply chain by 2030.,43,Water pollution > Targets for 2030,target,,95 percent,,2030,supply chain; supply chain (tier 1),0.75,data/raw/hm/2025_sustainability_report.pdf
"In addition, we have set a target to achieve 100 percent compliance with the ZDHC Wastewater Guidelines (Foundation Level) by 2025 for all processing units in Tier 1 and 2 of our supply chain with on-site effluent treatment plants (ETP), ensuring that discharged water quality meets ZDHC’s minimum environmental requirements.",43,Water pollution > Targets for 2030,target,,100 percent,,2025,supply chain; supply chain (tier 1),0.75,data/raw/hm/2025_sustainability_report.pdf
"Action: Securing quality of wastewater discharge In 2025, we continued our efforts to strengthen wastewater quality compliance by conducting periodic testing of discharged wastewater and assessing the operational effectiveness of effluent treatment processes at supplier facilities in Tier 1 and 2 equipped with on-site effluent treatment plants (ETP).",43,Water pollution > Targets for 2030,other,,"2025,",,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"These activities, ongoing since 2023, ensure that wastewater quality is regularly monitored against the ZDHC Wastewater Guidelines, with a focus on ­priority pollutants.",43,Water pollution > Targets for 2030,other,,"2023,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Ensuring chemical compliance In 2025, we also continued our commitment to chemical compliance by applying the AFIRM Restricted Substances List (RSL) and the ZDHC Manufacturing Restricted Substances List (MRSL) in our supply chain.",43,Water pollution > Targets for 2030,other,firm,"2025,",,,supply chain,1.0,data/raw/hm/2025_sustainability_report.pdf
We also reached 100 percent of Tier 1 and 2 production units with ETP discharged water quality that is ZDHC wastewater compliant at Foundational Level.,43,Water pollution > Targets for 2030,achievement,achievement,100 percent,,,supply chain (tier 1),0.67,data/raw/hm/2025_sustainability_report.pdf
ETP discharge water quality Covers Tier 1 and 2 wet processing units with on-site ETPs.,43,Water pollution > Water pollution in the supply chain,other,,1,,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"In 2024, we conducted a ­climate-related scenario analysis covering water-related risks to assess the resilience of our business.",44,Water use,other,,"2024,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
This screening is conducted using the WWF Water Risk Filter tool that evaluates both basin-level and operational water risks across 12 risk categories.,44,Water use,other,,12,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To further support forward-looking risk management, we conducted a qualitative climate-related scenario analysis in 2024 covering an assessment of physical water-related risks along our value chain.",44,Water use,other,hedged,2024,,,value chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"To ensure we reach the targets and fulfil our policy commitments, we plan to take action to improve water efficiency and increase the use of recycled water in our supply chain.",44,Water use > Targets for 2030,attribute,hedged,,,,supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Improving water efficiency To reach our ambition, we have taken action to reduce the water intensity of our products and improve water efficiency among our Tier 1 and 2 suppliers during 2025.",44,Water use > Targets for 2030,target,hedged,1,,,supply chain (tier 1),0.5,data/raw/hm/2025_sustainability_report.pdf
"In addition, we have supported our Tier 1 and 2 suppliers with wet ­processes in developing water roadmaps tailored to their operations.",44,Water use > Targets for 2030,other,,1,,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"The aim of this action is to significantly reduce absolute usage of freshwater by 2030, compared with our 2022 baseline, and strengthen our efforts to improve water efficiency.",44,Water use > Targets for 2030,target,hedged,"2030,",2022,2030,,0.75,data/raw/hm/2025_sustainability_report.pdf
Action: Increasing the use of recycled water In 2025 we have also taken action to increase the use of recycled water in our production processes by supporting our suppliers in adopting water recycling technologies.,44,Water use > Targets for 2030,attribute,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
The aim of this action is to increase the share of recycled water that is used in our production processes by 2030 against a 2022 baseline.,44,Water use > Targets for 2030,target,hedged,2030,2022,2030,,0.75,data/raw/hm/2025_sustainability_report.pdf
"Although we are actively implementing actions to increase the use of recycled water, we do not disclose specific financial resources allocated to these actions because such costs and investments are integrated into our normal business operations and cannot be separately identified.",44,Water use > Targets for 2030,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
The percentage of recycled water used in Tier 1 and 2 production units continues to increase and reached 20.3 percent compared with 18.4 percent last year.,44,Water use > Targets for 2030,achievement,achievement,20.3 percent,,,supply chain (tier 1),0.67,data/raw/hm/2025_sustainability_report.pdf
"Water usage in the supply chain Covers Tier 1 and 2 wet processing units, excluding raw material cultivation.",44,Water use > Freshwater usage in the supply chain,other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
Recycled and reused water Measures total recycled or reused water in Tier 1 and 2 units.,44,Water use > Freshwater usage in the supply chain,attribute,,1,,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
The metric is calculated as the sum of all reported volumes of recycled and reused water.,44,Water use > Freshwater usage in the supply chain,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our business relies on access to water in the production process, particularly during wet processing stages carried out by our Tier 1 and 2 suppliers.",44,Water use > Water withdrawals and consumption in the supply chain,other,,1,,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"To address this matter, we monitor water intensity in wet processing at our Tier 1 and 2 supplier sites to identify high-impact areas and enable targeted freshwater reduction strategies.",44,Water use > Water withdrawals and consumption in the supply chain,other,,1,,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"To achieve this ambition, we focus our efforts on eliminating business practices that harm ecosystems by increasing the use and availability of certified, recycled and sustainably sourced materials.",45,Biodiversity and ecosystems,target,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
The results show that our on­going efforts to increase the use of recycled and sustainably sourced materials will support business resilience in the short to medium term (within one to five years).,45,Biodiversity and ecosystems,attribute,firm,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"To gain a better understanding of our business resilience, we plan to further develop our risk analysis for biodiversity and ecosystems in 2026, in line with the Task Force on Nature-related Financial Disclosures (TNFD) framework.",45,Biodiversity and ecosystems,other,hedged,"2026,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In addition, the results from our climate-related scenario analysis highlighted risks related to our dependence on biodiversity and ecosystems – particularly in relation to activities in Tier 4 involving raw material extraction.",45,Biodiversity and ecosystems,other,,4,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"The results show that our dependency on biodiversity and ecosystem services, could expose us to financial and operational risks1 related to our resource use and inflows in the medium to long term (within five to fifteen years).",45,Biodiversity and ecosystems,other,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our targets and actions During 2025, we evaluated the potential to set science based biodiversityrelated targets, guided by the Science Based Targets Network (SBTN) framework.",45,Biodiversity and ecosystems,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"As a result, we intend to adopt biodiversity-related targets for land in 2026, covering our upstream value chain with a particular focus on reducing our land footprint, and mitigating the risk of land-use change, ­deforestation, and ecosystem degradation.",45,Biodiversity and ecosystems,other,hedged,"2026,",,,value chain; upstream,1.0,data/raw/hm/2025_sustainability_report.pdf
"While we have not yet set bio­diversity-related targets for 2025, our existing materials targets – which aim to increase the share of recycled and sustainably sourced materials – are related to our actions to reduce pressure on ecosystems.",45,Biodiversity and ecosystems,attribute,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Reducing the conversion of land and natural ecosystems In 2025, we have been working towards avoiding the conversion of natural ecosystems by increasing the availability and use of sustainably sourced materials.",45,Biodiversity and ecosystems,attribute,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
These efforts involve suppliers at Tier 4 and encompass planned initiatives until 2030 in support of our material targets.,45,Biodiversity and ecosystems,target,hedged,4,,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
We have allocated resources towards this action in the form of investments to increase the use of sustainably sourced materials.,45,Biodiversity and ecosystems,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Reducing our land footprint In 2025, we have taken action to reduce our land footprint for cotton, wool and leather, by increasing the use of recycled materials and investing in ­agricultural practices that improve soil health, enhance water retention and protect biodiversity.",45,Biodiversity and ecosystems,attribute,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In parallel, we are increasing the share of recycled materials in our products and packaging.",45,Biodiversity and ecosystems,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
This action includes planned initiatives until 2030 to support our material targets.,45,Biodiversity and ecosystems,target,hedged,2030,,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
We have allocated resources towards this action in the form of investments to increase the availability of recycled materials and through efforts to expand sourcing from suppliers that apply improved soil and rangeland management practices.,45,Biodiversity and ecosystems,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Restoring landscape in India To support our objective of contributing to reversing nature loss and contributing to the Global Goals on Biodiversity, we are implementing landscapelevel projects in India, one submitted to SBTN as a Land Target 3 project.",45,Biodiversity and ecosystems,target,hedged,3,,,,0.25,data/raw/hm/2025_sustainability_report.pdf
